model,pred_len,test_loss,r2_val_sklearn,correct_buys,total_buys,correct_sells,total_sells,correct_holds,total_holds
HFformer,1,3131.6197618270558,-0.5975883309655217,18998,40404,21245,39515,0,0
HFformer,1,3677.768934922123,-0.5952900986009002,21283,40313,22336,39135,0,470
HFformer,1,3877.143397299362,-0.5430892995746668,23713,40411,22793,39474,0,32
HFformer,1,4013.804387562405,-0.5113205021361744,21371,40193,26958,39705,0,18
HFformer,1,4068.417206289337,-0.47177749590356255,23461,40188,26392,39724,0,4
HFformer,1,3868.3439288234904,-0.3552314412556985,24885,40107,26337,39807,0,1
HFformer,1,3695.757059489662,-0.26049785849562923,22809,40206,29097,39708,0,0
HFformer,1,3908.501540148409,-0.30318635333147803,25530,40111,27311,39801,0,1
HFformer,1,3940.774192197865,-0.2875373318089727,24784,40115,28485,39797,0,0
HFformer,1,3899.756136102344,-0.2509293292863579,24018,40102,29179,39810,0,0
HFformer,1,3941.4878936164605,-0.243168463447331,25770,40031,28876,39880,0,0
HFformer,1,3728.268887579371,-0.1561566029662267,23957,39963,30023,39947,0,0
HFformer,1,3889.112604042469,-0.18658796188181537,26261,39928,28557,39980,0,1
HFformer,1,3909.74681809618,-0.17431088945799567,24068,39850,30697,40057,0,1
HFformer,1,3771.643527352483,-0.11519375040579849,25174,39785,30322,40123,0,0
HFformer,1,4244.252027978415,-0.23648628249321857,25833,39773,29435,40134,0,0
HFformer,1,3931.03451064385,-0.12939559780441545,27045,39764,28169,40142,0,0
HFformer,1,4683.1669632484245,-0.32786806853614303,24296,39748,30447,40157,0,0
HFformer,1,4033.64614316974,-0.12909371780829515,26191,39675,29752,40229,0,0
HFformer,1,3946.821315248498,-0.09139373359965508,27405,39683,28856,40221,0,0
HFformer,1,4423.17157541514,-0.208743865852141,27884,39630,26629,40273,0,0
HFformer,1,4568.983253744513,-0.23465038337465716,22316,39590,30085,40312,0,0
HFformer,1,4326.257497022182,-0.1568485680962992,26091,39538,29603,40363,0,0
HFformer,1,3964.081974165528,-0.049719507161924525,25870,39482,29040,40418,0,0
HFformer,1,4283.090481924257,-0.12382547659154475,26427,39436,29167,40464,0,0
HFformer,1,4123.839248661841,-0.07259068841333916,26554,39423,29092,40476,0,0
HFformer,1,4423.218565470815,-0.14074941675831454,26175,39396,28982,40502,0,0
HFformer,1,4078.1013176449037,-0.043384902984156426,26403,39316,28810,40581,0,0
HFformer,1,4118.076238274837,-0.04573039854767069,22727,39257,31752,40639,0,0
HFformer,1,4847.940222674659,-0.2225398447733571,25309,39186,29014,40710,0,0
